序号,一级,二级,三级,功能点,功能说明,备注
25,客户资产,客户列表,,微盟标签查看,在画像子菜单查看微盟标签；无数据时空态,
26,客户资产,客户列表,,会员视图,查看会员卡、等级与积分概览；可进入等级变更记录、积分变更记录；手机号脱敏,
27,客户资产,客户列表,,等级变更记录,弹窗查看等级变更历史；无数据空态,
28,客户资产,客户列表,,积分变更记录,弹窗查看积分变动历史；无数据空态,
29,客户资产,客户列表,,关联账号信息,卡片展示关联账号名称与账号ID；支持复制账号,
30,客户资产,客户列表,,客户动态查询,按时间与类型（默认不限）查询；营销互动近90天、订单评价售后近2年；搜索/重置；可空态,
31,客户资产,客户列表,,订单信息查询,默认展示近2年订单；按店铺（多选）与订单号筛选；支持展开全部子订单、列设置、搜索/重置；可空态,
32,客户资产,客户列表,,商品评价查询,按店铺（多选）查询评价；搜索/重置；可空态,
33,客户资产,客户列表,,发放权益查询,展示近90天权益发放记录及汇总（发放量、最后发放时间）；按店铺筛选；搜索/重置；可空态,
34,客户资产,人群管理,自定义人群,左侧树形分类,按人群目录树筛选列表；可搜目录；含所有/业务目录/未分类,
35,客户资产,人群管理,自定义人群,查询,按人群名称/ID、创建人、人群类型筛选；支持搜索/重置；类型默认不限,
36,客户资产,人群管理,自定义人群,列表,表格浏览人群；支持勾选、分页（默认每页20）、刷新；人群名称可进详情；行内可删等,
37,客户资产,人群管理,自定义人群,新建人群,进入人群工坊：选标签/行为条件组合（组内且）、估算人数后保存；可返回列表,
38,客户资产,人群管理,自定义人群,同步开放平台,勾选人群后确认同步开放平台；列表展示同步状态（未同步/同步成功等）,
39,客户资产,人群管理,自定义人群,人群详情页,展示人群摘要；可编辑；Tab含人群条件/人群明细/人群画像；可估算人数,
40,客户资产,标签管理,店铺标签,标签分组,左侧分组树浏览与切换；可搜分组；支持引用行业标签模板、组内新增,
41,客户资产,标签管理,店铺标签,查询,按标签ID/名称、类型、创建人、创建时间筛选；支持搜索/重置,
42,客户资产,标签管理,店铺标签,列表,表格浏览标签；含已打标人数；行内可查看/删除/修改分组；支持分页刷新,
43,客户资产,标签管理,店铺标签,新建标签,弹窗创建标签：名称/描述、类型、有效期、权限控制；确定/取消,
44,客户资产,标签管理,店铺标签,导入客户,弹窗按标签层级/平台/分组导入；可选匹配标识；下载模板后上传csv（≤10MB）,
45,客户资产,标签管理,全渠道标签,标签分组,左侧分组树浏览与切换；可搜分组；支持订阅行业标签模板、新建分组,
46,客户资产,标签管理,全渠道标签,查询,按标签ID/名称、类型、创建人、创建时间筛选；支持搜索/重置,
47,客户资产,标签管理,全渠道标签,列表,表格浏览标签；含已打标人数；行内可查看/删除/更改分组（部分可建子标签）；支持分页刷新,
48,客户资产,标签管理,全渠道标签,新建标签,弹窗创建标签：名称/说明、类型、有效期、权限控制；确定/取消,
49,客户资产,标签管理,全渠道标签,导入客户,弹窗按标签层级/分组导入；可选匹配标识；下载模板后上传csv（≤10MB）,
50,客户资产,标签管理,已打标客户导入,,列表,表格浏览导入批次；含层级/平台/店铺/分组、匹配标识、状态与成功失败数；可按平台/状态/批次筛选；支持分页刷新,
51,客户资产,标签管理,已打标客户导入,,导入客户,弹窗导入：选标签层级/分组、匹配标识；下载模板后上传csv（≤10MB）；匹配客户后执行打标；确定/取消,
